                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0482,                 3.0409,                 1.2056,                0.97372,                0.03561,                0.12883,                0.09265,                0.99346,                 3.0411,                 1.1554,               0.070588,               0.003268,               0.003268
                      1,                 1.0554,                  2.009,                 1.2013,                0.70121,                0.11567,                0.14244,                0.09679,                 1.2128,                 2.6056,                 1.3522,               0.040562,              0.0065752,              0.0065752
                      2,                 1.1087,                 1.8728,                 1.2391,                0.45376,                0.22749,                 0.1985,                0.11671,                 1.2687,                 2.4017,                 1.4522,                0.01051,               0.009856,               0.009856
                      3,                 1.1738,                 1.8665,                 1.2748,                0.50515,                0.32709,                0.29374,                0.17777,                 1.3438,                  2.283,                  1.496,              0.0098812,              0.0098812,              0.0098812
                      4,                  1.177,                 1.7922,                 1.2815,                0.53669,                0.26317,                0.26434,                0.15085,                 1.3922,                 2.3611,                 1.6605,              0.0098812,              0.0098812,              0.0098812
                      5,                 1.1738,                 1.7839,                 1.3017,                 0.5922,                0.28113,                0.25774,                0.15668,                 1.3711,                 2.6561,                 1.5829,              0.0098416,              0.0098416,              0.0098416
                      6,                 1.1768,                 1.6682,                 1.2957,                0.43979,                0.28759,                0.19649,                0.10895,                 1.5255,                 2.5476,                 1.6783,               0.009802,               0.009802,               0.009802
                      7,                 1.1584,                 1.6066,                 1.2723,                 0.5165,                 0.3454,                0.33993,                0.21196,                 1.3385,                 1.9057,                 1.5447,              0.0097624,              0.0097624,              0.0097624
                      8,                 1.1346,                 1.5623,                 1.2526,                0.59976,                0.23807,                0.27166,                0.14874,                 1.3976,                 2.2514,                 1.5533,              0.0097228,              0.0097228,              0.0097228
                      9,                 1.1249,                 1.5042,                 1.2637,                0.62598,                0.32593,                0.33877,                0.21117,                 1.2939,                 1.7682,                 1.4664,              0.0096832,              0.0096832,              0.0096832
                     10,                 1.1395,                 1.4842,                 1.2552,                0.55043,                0.32438,                0.32603,                0.21201,                  1.334,                 1.8466,                 1.5217,              0.0096436,              0.0096436,              0.0096436
                     11,                 1.1366,                 1.4391,                 1.2603,                0.66681,                0.26755,                0.30469,                0.20297,                 1.2481,                 1.7644,                 1.4079,               0.009604,               0.009604,               0.009604
                     12,                 1.1218,                 1.4201,                  1.257,                0.56864,                0.33714,                0.35348,                 0.2185,                 1.2459,                 1.6556,                 1.4175,              0.0095644,              0.0095644,              0.0095644
                     13,                  1.134,                    1.4,                 1.2599,                0.69801,                0.28546,                0.40744,                0.27479,                 1.2721,                 1.7629,                 1.4535,              0.0095248,              0.0095248,              0.0095248
                     14,                  1.085,                  1.304,                 1.2292,                0.56769,                0.39661,                 0.4652,                0.32453,                 1.2077,                  1.567,                  1.385,              0.0094852,              0.0094852,              0.0094852
                     15,                 1.0824,                 1.3387,                 1.2196,                 0.5892,                0.31359,                0.36538,                0.23302,                 1.2777,                 1.5201,                 1.4228,              0.0094456,              0.0094456,              0.0094456
                     16,                 1.0628,                 1.3053,                 1.2311,                0.60548,                0.34025,                0.38953,                0.24003,                  1.248,                 1.5896,                 1.4325,               0.009406,               0.009406,               0.009406
                     17,                 1.0675,                 1.3066,                 1.2438,                0.60547,                0.39863,                0.51502,                0.37262,                 1.1899,                 1.4774,                  1.391,              0.0093664,              0.0093664,              0.0093664
                     18,                 1.0717,                 1.2342,                 1.2149,                 0.6248,                0.31279,                 0.3812,                0.23851,                 1.2654,                  1.607,                 1.4525,              0.0093268,              0.0093268,              0.0093268
                     19,                 1.0472,                 1.2275,                 1.2118,                0.60436,                 0.3277,                0.38667,                0.25835,                 1.2473,                 1.5774,                 1.4625,              0.0092872,              0.0092872,              0.0092872
                     20,                 1.0386,                 1.2144,                 1.2012,                0.60833,                0.31781,                0.44625,                0.32764,                 1.2668,                 1.6375,                 1.4776,              0.0092476,              0.0092476,              0.0092476
                     21,                 1.0545,                 1.2047,                 1.2208,                0.73093,                0.36062,                 0.4781,                  0.336,                 1.2396,                 1.4084,                 1.4335,               0.009208,               0.009208,               0.009208
